msgTime,roundNum,role,clkTime,outcome,numOutcome,source,workerid_uniq,gameid,contents,numCleanChars,numRawChars,numCleanWords,numRawWords,condition,clickStatus,clickColH,clickColL,clickColS,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColL,alt1ColS,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColL,alt2ColS,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff
,1,speaker,,true,1,1,20002,10014,blue gray,9,9,2,2,split,target,201,50,19,1,1,distr1,9,50,7,2,3,distr2,144,50,58,3,2,17.199914919583748,41.18372343287631,52.525501419329615
,1,speaker,,true,1,1,20002,10015,teal,4,4,1,1,far,target,165,50,75,1,2,distr1,31,50,55,2,3,distr2,138,50,18,3,1,86.40574114571051,57.97741551401882,39.91475688273962
,1,speaker,,true,1,1,20002,10016,gray,4,4,1,1,close,target,37,50,3,1,1,distr1,341,50,16,2,2,distr2,81,50,24,3,3,8.742176839265804,13.40512447010277,18.4977036028952
,1,speaker,,true,1,1,20002,10017,pea green,9,9,2,2,split,target,71,50,40,1,2,distr1,82,50,73,2,1,distr2,193,50,88,3,3,12.96720339941059,98.38691623574154,101.97213884221942
,1,speaker,,true,1,1,20002,10018,teal gray,9,9,2,2,far,target,166,50,47,1,2,distr1,268,50,7,2,1,distr2,277,50,77,3,3,36.710785231480415,69.55403572097339,42.911158637640774
,1,speaker,,true,1,1,20002,10019,lime green,10,10,2,2,far,target,82,50,49,1,2,distr1,163,50,70,2,1,distr2,154,50,43,3,3,68.61402344890648,42.12937573718395,32.61362589993631
,1,speaker,,true,1,1,20002,10020,grey blue,9,9,2,2,split,target,190,50,24,1,3,distr1,201,50,33,2,1,distr2,344,50,23,3,2,8.290594501009176,28.87829603038275,35.40336117221993
,1,speaker,,true,1,1,20002,10021,purple red,10,10,2,2,close,target,344,50,10,1,2,distr1,13,50,31,2,3,distr2,281,50,7,3,1,13.12729827062161,5.147007137715531,18.225806222486405
,1,speaker,,true,1,1,20001,10022,Grey,4,4,1,1,close,target,144,50,2,1,2,distr1,79,50,9,2,3,distr2,134,50,15,3,1,5.786934832983607,10.379710386252494,11.486073815170085
,1,speaker,,true,1,1,20001,10023,Pale green,10,10,2,2,split,target,133,50,14,1,1,distr1,66,50,9,2,2,distr2,234,50,32,3,3,12.953794210642949,28.301043583245228,35.264073406145584
,1,speaker,,true,1,1,20001,10024,Neon green,10,10,2,2,split,target,132,50,69,1,2,distr1,130,50,58,2,3,distr2,65,50,53,3,1,13.773925457112545,75.10350695518578,64.3496675089785
,1,speaker,,true,1,1,20001,10025,Purple,6,6,1,1,far,target,274,50,60,1,2,distr1,219,50,80,2,1,distr2,66,50,84,3,3,77.33362686205932,81.19782980057771,114.2100502685988
,1,speaker,,true,1,1,20001,10026,Neon Green,10,10,2,2,split,target,117,50,86,1,1,distr1,138,50,88,2,3,distr2,171,50,55,3,2,15.683369430993386,45.065342098178355,43.093386630637035
,1,speaker,,true,1,1,20001,10027,green,5,5,1,1,far,target,91,50,26,1,2,distr1,263,50,81,2,3,distr2,334,50,73,3,1,64.59761899315194,55.75550897922004,47.13147613649429
,1,speaker,,true,1,1,20001,10028,Green,5,5,1,1,far,target,126,50,84,1,3,distr1,56,50,79,2,2,distr2,246,50,89,3,1,98.41878276815008,88.92825040579703,123.4446173982769
,1,speaker,,true,1,1,20001,10029,Blue,4,4,1,1,split,target,216,50,19,1,1,distr1,15,50,9,2,3,distr2,79,50,63,3,2,19.421627493165214,46.26021316696641,31.055113761805988
,1,speaker,,true,1,1,20003,10030,dark blue,9,9,2,2,far,target,213,50,64,1,3,distr1,141,50,34,2,2,distr2,20,50,37,3,1,44.63453130544297,73.66909632187131,42.11892711382494
,1,speaker,,true,1,1,20003,10031,light brown,11,11,2,2,split,target,27,50,27,1,2,distr1,326,50,15,2,1,distr2,204,50,60,3,3,15.379361854787714,64.18164585544692,56.12265109090046
,1,speaker,,true,1,1,20003,10032,blueish gray,12,12,2,2,close,target,245,50,12,1,3,distr1,324,50,24,2,1,distr2,298,50,6,3,2,19.149680933949877,10.162971954525306,11.628845457248886
,1,speaker,,true,1,1,20003,10033,blue green,10,10,2,2,far,target,169,50,35,1,1,distr1,248,50,86,2,2,distr2,105,50,82,3,3,63.12760109033319,35.82846425880821,92.82764533502306
,1,speaker,,true,1,1,20003,10034,lime green,10,10,2,2,far,target,114,50,90,1,2,distr1,49,50,7,2,1,distr2,26,50,59,3,3,74.73515677374812,84.48806085500037,29.719392642838443
,1,speaker,,true,1,1,20003,10035,pink,4,4,1,1,far,target,333,50,64,1,3,distr1,344,50,19,2,2,distr2,140,50,70,3,1,29.412604518299194,94.49220814504037,72.8956438657458
,1,speaker,,true,1,1,20003,10036,orange,6,6,1,1,far,target,39,50,53,1,3,distr1,207,50,59,2,1,distr2,104,50,79,3,2,77.62028155074971,51.56355566530717,56.99681139663378
,1,speaker,,true,1,1,20003,10037,bright orange,13,13,2,2,split,target,12,50,78,1,1,distr1,32,50,49,2,2,distr2,284,50,27,3,3,16.731106222643362,45.27209429335779,39.48200254787432
,1,speaker,,true,1,1,20003,10038,purple gray,11,11,2,2,close,target,264,50,12,1,3,distr1,356,50,12,2,1,distr2,313,50,21,3,2,11.025694187622983,13.217806158253088,11.369242192749846
,1,speaker,,true,1,1,20003,10039,camo green,10,10,2,2,split,target,80,50,24,1,3,distr1,149,50,19,2,2,distr2,336,50,68,3,1,18.997399190847496,47.921681620678356,53.52167196410243
,1,speaker,,true,1,1,20004,10040,Olive green,11,11,2,2,split,target,76,50,24,1,3,distr1,35,50,46,2,2,distr2,283,50,56,3,1,17.426553828327943,49.98955527178467,53.38316802806842
,1,speaker,,true,1,1,20004,10041,Green,5,5,1,1,far,target,142,50,65,1,2,distr1,307,50,80,2,3,distr2,257,50,7,3,1,104.71268364878206,58.08277971638051,55.20548783004159
,1,speaker,,true,1,1,20004,10042,magenta,7,7,1,1,close,target,322,50,39,1,2,distr1,0,50,29,2,3,distr2,291,50,19,3,1,17.96455302718605,13.998515005102176,15.456302642601388
,1,speaker,,true,1,1,20004,10043,Dark pink,9,9,2,2,far,target,353,50,44,1,1,distr1,121,50,4,2,2,distr2,163,50,37,3,3,26.729163923577023,49.3055381699904,24.431311707439264
,1,speaker,,true,1,1,20004,10044,Light purple,12,12,2,2,close,target,264,50,17,1,1,distr1,199,50,29,2,2,distr2,194,50,14,3,3,19.017787797600235,11.610806673532622,11.51041352573922
,1,speaker,,true,1,1,20004,10045,Red,3,3,1,1,far,target,346,50,92,1,2,distr1,241,50,78,2,1,distr2,153,50,80,3,3,94.48174933563816,108.45472317802056,65.44622428568924
,1,speaker,,true,1,1,20004,10046,Gray,4,4,1,1,far,target,206,50,3,1,3,distr1,82,50,68,2,2,distr2,233,50,57,3,1,36.43033721366464,52.596483711754104,84.30375109373023
,1,speaker,,true,1,1,20004,10047,Pink,4,4,1,1,far,target,327,50,82,1,1,distr1,82,50,13,2,2,distr2,124,50,45,3,3,57.9395265701299,89.0365231243805,38.12486877976292
,1,speaker,,true,1,1,20004,10048,Gray,4,4,1,1,split,target,232,50,14,1,1,distr1,282,50,27,2,2,distr2,167,50,58,3,3,17.787429354059434,41.216755637851655,57.15220445883659
,1,speaker,,true,1,1,20005,10049,green,5,5,1,1,split,target,118,50,55,1,3,distr1,133,50,36,2,2,distr2,356,50,88,3,1,19.943431842400464,81.10328690367271,68.57660623696638
,1,speaker,,true,1,1,20005,10050,pale blue,9,9,2,2,close,target,224,50,25,1,2,distr1,202,50,23,2,1,distr2,123,50,5,3,3,6.878745507994385,19.776665716973465,14.71967048486358
,1,speaker,,true,1,1,20005,10051,pale blue,9,9,2,2,close,target,225,50,25,1,1,distr1,160,50,2,2,3,distr2,245,50,12,3,2,19.56586249615725,11.199339550034836,9.577162420700434
,1,speaker,,true,1,1,20005,10052,forest green,12,12,2,2,split,target,165,50,14,1,1,distr1,200,50,29,2,3,distr2,305,50,57,3,2,13.390511237577565,50.8674840951813,54.147806976942604
,1,speaker,,true,1,1,20005,10053,forest green,12,12,2,2,close,target,160,50,12,1,2,distr1,53,50,14,2,1,distr2,346,50,20,3,3,16.264610803271307,19.70652762225221,11.77632687192646
,1,speaker,,true,1,1,20005,10054,grey,4,4,1,1,split,target,45,50,5,1,3,distr1,130,50,4,2,2,distr2,111,50,27,3,1,5.309844150274557,20.276907368270297,17.033531164957125
,1,speaker,,true,1,1,20005,10055,red,3,3,1,1,close,target,1,50,41,1,1,distr1,330,50,42,2,3,distr2,335,50,26,3,2,16.37741940940385,12.348993664181426,11.033931920398018
,1,speaker,,true,1,1,20005,10056,gold,4,4,1,1,split,target,52,50,56,1,3,distr1,24,50,92,2,1,distr2,227,50,32,3,2,18.867883896266576,63.90878526516446,74.72949836621467
,1,speaker,,true,1,1,20005,10057,light orange,12,12,2,2,split,target,39,50,59,1,1,distr1,21,50,74,2,3,distr2,128,50,77,3,2,9.6338877416416,87.65720643373268,91.59752736155794
,1,speaker,,true,1,1,20005,10058,brown,5,5,1,1,split,target,29,50,25,1,3,distr1,52,50,47,2,2,distr2,96,50,81,3,1,18.151102599081106,36.98040190822771,35.551255715313395
,1,speaker,,true,1,1,20006,10059,Dark purple,11,11,2,2,far,target,292,50,25,1,3,distr1,256,50,88,2,2,distr2,84,50,23,3,1,52.563453456628196,30.96679982492937,72.55707643709637
,1,speaker,,true,1,1,20006,10060,Minty Green,11,11,2,2,far,target,154,50,48,1,3,distr1,6,50,30,2,2,distr2,213,50,45,3,1,51.70427767865858,25.26845282938537,50.79259221618136
,1,speaker,,true,1,1,20006,10061,Gray-ish Green,14,14,2,2,far,target,141,50,10,1,3,distr1,212,50,85,2,2,distr2,121,50,53,3,1,81.4155861060905,42.52095455512628,62.714389465395314
,1,speaker,,true,1,1,20006,10062,Green with hints of blue,24,24,5,5,split,target,162,50,40,1,2,distr1,209,50,28,2,1,distr2,247,50,44,3,3,17.717300041746107,35.877054216375384,21.444437143269056
,1,speaker,,true,1,1,20006,10063,"Aquamarine blue, close to the color associated with the brand Tiffany's",71,71,11,11,split,target,179,50,79,1,1,distr1,180,50,66,2,2,distr2,7,50,42,3,3,13.729708640313074,87.6530254544562,73.70900022639891
,1,speaker,,true,1,1,20006,10064,Dark Purple,11,11,2,2,far,target,273,50,50,1,3,distr1,67,50,19,2,1,distr2,306,50,76,3,2,43.560311627074654,33.37960860155177,61.216794159525655
,1,speaker,,true,1,1,20006,10065,Hot Pink,8,8,2,2,far,target,339,50,71,1,3,distr1,208,50,47,2,1,distr2,143,50,89,3,2,66.48036828960879,113.97775524434999,60.512921294413474
,1,speaker,,true,1,1,20006,10066,Light brown,11,11,2,2,split,target,32,50,19,1,1,distr1,5,50,47,2,3,distr2,193,50,72,3,2,15.728500358146336,72.35289838550652,81.72916571758053
,1,speaker,,true,1,1,20007,10067,Grey,4,4,1,1,far,target,208,50,4,1,3,distr1,297,50,43,2,1,distr2,359,50,58,3,2,34.250834477176774,33.34113301302081,27.64046956966927
,1,speaker,,true,1,1,20007,10068,Pea green,9,9,2,2,split,target,68,50,45,1,2,distr1,14,50,41,2,1,distr2,310,50,37,3,3,17.680855741915032,45.90014835807333,28.0684908847253
,1,speaker,,true,1,1,20007,10069,Dull Redish,11,11,2,2,close,target,334,50,21,1,3,distr1,278,50,16,2,1,distr2,83,50,9,3,2,9.935045298147248,15.88492807440684,16.027052385943314
,1,speaker,,true,1,1,20007,10070,Bright Pink,11,11,2,2,far,target,326,50,51,1,3,distr1,179,50,19,2,1,distr2,347,50,21,3,2,43.65367068964001,23.01270286809936,24.648035788768922
,1,speaker,,true,1,1,20007,10071,Green,5,5,1,1,far,target,90,50,17,1,3,distr1,306,50,40,2,2,distr2,262,50,51,3,1,39.723847980430826,43.507413179670564,29.493306876469532
,1,speaker,,true,1,1,20007,10072,Dull Blue,9,9,2,2,split,target,247,50,14,1,1,distr1,302,50,5,2,2,distr2,259,50,48,3,3,11.225427380220614,21.943791219341424,30.79238284351275
,1,speaker,,true,1,1,20007,10073,Darker Pea Green,16,16,3,3,close,target,78,50,19,1,1,distr1,60,50,19,2,2,distr2,347,50,13,3,3,6.017942912237757,13.852107016152015,13.891370843799
,1,speaker,,true,1,1,20007,10074,Dark Green,10,10,2,2,close,target,103,50,8,1,1,distr1,214,50,2,2,3,distr2,355,50,9,3,2,5.809403906358972,9.183778892597502,6.569372292343375
,1,speaker,,true,1,1,20007,10075,Dull Red,8,8,2,2,split,target,346,50,23,1,1,distr1,261,50,3,2,2,distr2,164,50,47,3,3,13.559098795121464,48.267051591134155,35.981551418768184
,1,speaker,,true,1,1,20007,10076,Grey,4,4,1,1,far,target,358,50,1,1,1,distr1,95,50,41,2,2,distr2,318,50,48,3,3,23.53267686768773,33.384797285002605,54.59211195092409
,1,speaker,,true,1,1,20008,10077,purple,6,6,1,1,split,target,322,50,22,1,3,distr1,348,50,17,2,2,distr2,193,50,36,3,1,7.536377098030559,37.533805205065626,35.058262305798124
,1,speaker,,true,1,1,20008,10078,tan,3,3,1,1,close,target,20,50,31,1,3,distr1,56,50,14,2,2,distr2,54,50,4,3,1,9.418032802777695,15.461577432606473,8.017163424149404
,1,speaker,,true,1,1,20008,10079,light blue,10,10,2,2,split,target,194,50,18,1,1,distr1,97,50,19,2,3,distr2,261,50,80,3,2,16.929008024043988,46.45369252753169,60.573732189403145
,1,speaker,,true,1,1,20008,10080,purple,6,6,1,1,close,target,305,50,23,1,2,distr1,352,50,35,2,1,distr2,89,50,3,3,3,12.578449682327983,19.959040059283733,19.95633824914814
,1,speaker,,true,1,1,20008,10081,light blue,10,10,2,2,close,target,198,50,25,1,1,distr1,277,50,7,2,3,distr2,231,50,17,3,2,17.82910026786593,8.17592913981648,12.689200641659912
,1,speaker,,true,1,1,20008,10082,light blue,10,10,2,2,close,target,205,50,20,1,2,distr1,134,50,8,2,3,distr2,250,50,10,3,1,12.073600051163135,9.331021600244386,10.304343317592467
,1,speaker,,true,1,1,20008,10083,pink,4,4,1,1,split,target,343,50,42,1,3,distr1,342,50,29,2,2,distr2,174,50,26,3,1,7.211229389542747,40.68483557172533,34.12500268982649
,1,speaker,,true,1,1,20008,10084,grey,4,4,1,1,close,target,207,50,0,1,1,distr1,187,50,18,2,2,distr2,154,50,12,3,3,11.971058450570233,8.207128540491698,6.2038637314878615
,1,speaker,,true,1,1,20009,10085,olive,5,5,1,1,close,target,72,50,28,1,3,distr1,19,50,42,2,1,distr2,8,50,9,3,2,14.504500546444536,16.205409149406453,19.192228401477603
,1,speaker,,true,1,1,20009,10086,seafoam,7,7,1,1,split,target,140,50,42,1,3,distr1,112,50,34,2,1,distr2,204,50,19,3,2,15.327755898820092,27.23442809697727,24.89689170753176
,1,speaker,,true,1,1,20009,10087,mauve,5,5,1,1,close,target,17,50,33,1,1,distr1,69,50,24,2,2,distr2,75,50,0,3,3,11.591993312039444,19.141534164444856,17.10210987552546
,1,speaker,,true,1,1,20009,10088,robin egg blue,14,14,3,3,far,target,196,50,54,1,3,distr1,65,50,28,2,2,distr2,328,50,25,3,1,58.46463973102233,54.33142430842823,25.948032615703607
,1,speaker,,true,1,1,20009,10089,teal,4,4,1,1,split,target,165,50,64,1,1,distr1,143,50,52,2,3,distr2,127,50,91,3,2,18.188997527286734,39.73532844108177,45.999589063022356
,1,speaker,,true,1,1,20009,10090,aqua,4,4,1,1,far,target,167,50,57,1,3,distr1,342,50,37,2,2,distr2,41,50,81,3,1,63.902632626258075,79.8815683902555,44.73512763562804
,1,speaker,,true,1,1,20009,10091,gray,4,4,1,1,split,target,295,50,1,1,1,distr1,92,50,8,2,3,distr2,260,50,58,3,2,5.710140177289442,37.86633390159169,42.97132040592084
,1,speaker,,true,1,1,20009,10092,gray,4,4,1,1,split,target,63,50,6,1,2,distr1,360,50,37,2,1,distr2,80,50,92,3,3,18.315265371709234,38.49072770974033,38.527958832497866
,1,speaker,,true,1,1,20010,10093,Neon Green,10,10,2,2,far,target,118,50,92,1,3,distr1,311,50,33,2,2,distr2,224,50,65,3,1,108.83257176395651,71.88979287077932,68.01752649895306
,1,speaker,,true,1,1,20010,10094,Dark Pink,9,9,2,2,split,target,336,50,41,1,1,distr1,296,50,43,2,3,distr2,240,50,54,3,2,14.314317875394947,62.78107290402363,58.539768278102635
,1,speaker,,true,1,1,20010,10095,Violet,6,6,1,1,close,target,263,50,15,1,2,distr1,203,50,22,2,1,distr2,293,50,1,3,3,13.503833795410399,9.405208796270033,15.635648038718395
,1,speaker,,true,1,1,20010,10096,Olive Brown,11,11,2,2,far,target,68,50,25,1,2,distr1,59,50,57,2,3,distr2,282,50,74,3,1,22.458691189104105,59.86912345410335,75.72838142321643
,1,speaker,,true,1,1,20010,10097,Light Grey,10,10,2,2,close,target,187,50,4,1,3,distr1,57,50,16,2,1,distr2,173,50,13,3,2,14.876723474641981,6.046778575618478,19.116044020770907
,1,speaker,,true,1,1,20010,10098,Purple,6,6,1,1,far,target,262,50,59,1,3,distr1,329,50,42,2,2,distr2,210,50,7,3,1,36.13613794396854,35.272359777034985,29.426212562684288
,1,speaker,,true,1,1,20010,10099,Neon Green,10,10,2,2,far,target,97,50,80,1,2,distr1,308,50,49,2,3,distr2,204,50,26,3,1,75.09110634153325,44.22383197695221,46.54896401603853
,1,speaker,,true,1,1,20010,10100,Light Grey,10,10,2,2,split,target,80,50,3,1,1,distr1,100,50,14,2,3,distr2,168,50,50,3,2,7.558694052462461,39.143153008693005,36.19447099226
,1,speaker,,true,1,1,20003,10101,gray,4,4,1,1,split,target,215,50,9,1,1,distr1,104,50,9,2,2,distr2,44,50,27,3,3,9.447771404349297,25.44971581969409,18.229068899294766
,1,speaker,,true,1,1,20003,10102,purple pink,11,11,2,2,split,target,305,50,38,1,1,distr1,330,50,32,2,3,distr2,148,50,2,3,2,11.302627354840071,31.236883618953886,21.960467870176526
,1,speaker,,true,1,1,20003,10103,orange,6,6,1,1,far,target,22,50,86,1,1,distr1,210,50,22,2,2,distr2,351,50,89,3,3,62.01725141069635,43.240332711787474,58.458790732367106
,1,speaker,,true,1,1,20003,10104,camo green,10,10,2,2,far,target,119,50,8,1,3,distr1,110,50,38,2,2,distr2,250,50,58,3,1,20.575346994468717,47.19067244400668,59.12127680791545
,1,speaker,,true,1,1,20003,10105,green,5,5,1,1,close,target,111,50,18,1,2,distr1,146,50,14,2,1,distr2,13,50,4,3,3,6.4906816484773096,14.565364473134167,12.005256295184765
,1,speaker,,true,1,1,20003,10106,grass green,11,11,2,2,close,target,131,50,23,1,2,distr1,110,50,13,2,3,distr2,154,50,21,3,1,10.325508464344493,6.3397061640967225,9.156867667624288
,1,speaker,,true,1,1,20003,10107,dark purple blue,16,16,3,3,close,target,259,50,50,1,3,distr1,269,50,33,2,1,distr2,271,50,51,3,2,15.236343785100102,12.777028426363687,11.11624390669412
,1,speaker,,true,1,1,20003,10108,purple,6,6,1,1,far,target,264,50,30,1,1,distr1,172,50,19,2,2,distr2,126,50,63,3,3,23.070532636365627,68.6467075414567,49.39295598416423
,1,speaker,,true,1,1,20003,10109,gray green,10,10,2,2,split,target,179,50,10,1,2,distr1,360,50,23,2,1,distr2,347,50,69,3,3,19.663685264777428,43.548904720562106,26.81886165488143
,1,speaker,,true,1,1,20011,10110,Spring green,12,12,2,2,split,target,70,50,36,1,2,distr1,46,50,21,2,1,distr2,57,50,3,3,3,10.405292546977533,21.853416238356427,12.83452785581182
,1,speaker,,true,1,1,20011,10111,Spring green,12,12,2,2,split,target,82,50,36,1,1,distr1,67,50,5,2,2,distr2,259,50,41,3,3,17.78429282494771,49.42828761162786,31.65060582602064
,1,speaker,,true,1,1,20011,10112,Teal,4,4,1,1,close,target,162,50,28,1,2,distr1,234,50,0,2,3,distr2,182,50,13,3,1,19.73794369070767,11.941808145495047,8.478221337207343
,1,speaker,,true,1,1,20011,10113,Charcoal gray,13,13,2,2,close,target,229,50,3,1,1,distr1,165,50,14,2,2,distr2,85,50,7,3,3,8.121450255728762,6.455372903182878,9.988240254387932
,1,speaker,,true,1,1,20011,10114,Charcoal gray,13,13,2,2,close,target,156,50,2,1,1,distr1,10,50,18,2,3,distr2,192,50,13,3,2,11.65609711372019,7.452983825303789,18.975260150289408
,1,speaker,,true,1,1,20011,10115,Teal,4,4,1,1,close,target,194,50,10,1,3,distr1,244,50,24,2,2,distr2,255,50,2,3,1,16.137120205428133,5.774057702557818,19.246428394553508
,1,speaker,,true,1,1,20012,10116,Army light brown,16,16,3,3,split,target,28,50,20,1,1,distr1,5,50,32,2,3,distr2,75,50,87,3,2,8.269151751596143,33.92111879026097,35.91717649652946
,1,speaker,,true,1,1,20012,10117,Alabama Crimson Tide red,24,24,4,4,far,target,5,50,57,1,3,distr1,325,50,83,2,2,distr2,260,50,87,3,1,41.40526575269049,66.99725253995264,54.45267756862578
,1,speaker,,true,1,1,20012,10118,medium gray,11,11,2,2,far,target,209,50,9,1,2,distr1,273,50,72,2,1,distr2,1,50,55,3,3,42.44440227121681,34.88644831423248,45.77552893392725
,1,speaker,,true,1,1,20012,10119,light peach red,15,15,3,3,split,target,359,50,34,1,2,distr1,7,50,11,2,3,distr2,289,50,80,3,1,12.786568540125346,44.58356630119346,51.070814714018354
,1,speaker,,true,1,1,20012,10120,Ferrari red,11,11,2,2,far,target,12,50,87,1,1,distr1,154,50,1,2,2,distr2,114,50,31,3,3,47.20209916261072,55.72284005404787,23.90161684521019
,1,speaker,,true,1,1,20012,10121,flat purple,11,11,2,2,close,target,304,50,8,1,3,distr1,2,50,17,2,2,distr2,2,50,41,3,1,7.777118696287558,19.40806850269784,12.848018211702941
,1,speaker,,true,1,1,20012,10122,code green,10,10,2,2,far,target,164,50,76,1,3,distr1,54,50,20,2,1,distr2,258,50,23,3,2,76.01017560039502,68.51757129042518,30.80362017598112
,1,speaker,,true,1,1,20012,10123,bright green,12,12,2,2,far,target,95,50,62,1,1,distr1,230,50,70,2,3,distr2,152,50,37,3,2,86.08645464064104,30.430931956803647,57.68429405330432
,1,speaker,,true,1,1,20013,10124,brighter green,14,14,2,2,close,target,79,50,24,1,1,distr1,235,50,1,2,3,distr2,61,50,17,3,2,15.995224923229566,5.670646359481901,14.624322324701215
,1,speaker,,true,1,1,20013,10125,orange,6,6,1,1,far,target,29,50,61,1,2,distr1,162,50,40,2,3,distr2,140,50,78,3,1,58.14476098891263,89.47996095123762,51.159388327903784
,1,speaker,,true,1,1,20013,10126,blue,4,4,1,1,close,target,210,50,28,1,2,distr1,272,50,7,2,1,distr2,263,50,33,3,3,19.640735027783037,19.790756239988426,17.505306639646573
,1,speaker,,true,1,1,20013,10127,gray,4,4,1,1,split,target,342,50,1,1,3,distr1,112,50,13,2,2,distr2,317,50,64,3,1,10.471705235055332,44.2600488893641,54.33259459616891
,1,speaker,,true,1,1,20013,10128,light blue,10,10,2,2,split,target,206,50,79,1,1,distr1,217,50,67,2,2,distr2,140,50,81,3,3,14.283221641659267,43.01656540962957,50.661089043064884
,1,speaker,,true,1,1,20013,10129,purple,6,6,1,1,far,target,265,50,38,1,2,distr1,189,50,31,2,3,distr2,78,50,0,3,1,28.96949696982995,24.702520155750275,21.85689724595253
,1,speaker,,true,1,1,20013,10130,gray,4,4,1,1,close,target,196,50,5,1,1,distr1,283,50,8,2,3,distr2,213,50,16,3,2,6.6819637834294445,8.507998556655174,12.242945841846256
,1,speaker,,true,1,1,20013,10131,olive tan,9,9,2,2,close,target,50,50,36,1,3,distr1,35,50,14,2,2,distr2,87,50,28,3,1,16.716209007609162,16.867842514740243,12.728191315032618
,1,speaker,,true,1,1,20013,10132,pink,4,4,1,1,close,target,301,50,46,1,2,distr1,286,50,50,2,1,distr2,277,50,47,3,3,9.028398861928995,16.530818388839414,8.13767171222703
,1,speaker,,true,1,1,20013,10133,purplish red,12,12,2,2,split,target,349,50,18,1,2,distr1,94,50,10,2,1,distr2,226,50,28,3,3,13.949226047684258,30.592072734696302,26.640268495107023
,1,speaker,,true,1,1,20014,10134,Dark Pink,9,9,2,2,far,target,329,50,42,1,3,distr1,88,50,5,2,1,distr2,181,50,68,3,2,28.91902111803792,76.61480952582,58.66963055986464
,1,speaker,,true,1,1,20014,10135,Green Mint,10,10,2,2,far,target,160,50,78,1,1,distr1,274,50,14,2,3,distr2,52,50,20,3,2,74.63827707367042,78.3920264849384,22.128839104250822
,1,speaker,,true,1,1,20014,10136,Grey,4,4,1,1,far,target,101,50,3,1,2,distr1,308,50,57,2,3,distr2,254,50,57,3,1,44.49494311184531,42.585814650184076,46.217667557637434
